Timestamp,Channel,RSSID
18644757,1,0.025
18849574,1,0.025
19054373,1,0.025
19259163,1,0.025
19402688,1,0.0361
19463971,1,0.0362
19668750,1,0.0357
19873551,1,0.0354
20078370,1,0.0352
20283166,1,0.0349
20487938,1,0.0345
20692755,1,0.0342
20897548,1,0.034
21102357,1,0.0339
21307145,1,0.0336
21511962,1,0.0332
21716734,1,0.0329
21921542,1,0.0326
22126333,1,0.0325
22331142,1,0.0324
22535958,1,0.032
22740756,1,0.0319
22945558,1,0.0317
23150360,1,0.0313
23190448,1,0.0349
23355156,1,0.0348
23559929,1,0.0346
23764730,1,0.0342
23969545,1,0.0341
24174334,1,0.0336
24379146,1,0.0333
24583932,1,0.0329
24788741,1,0.0325
24993522,1,0.0323
25051119,1,0.0341
25198341,1,0.0342
25403129,1,0.0338
25607932,1,0.0337
25812719,1,0.0336
26017521,1,0.0333
26222314,1,0.0331
26427143,1,0.0328
26631944,1,0.0327
26836732,1,0.0324
27041514,1,0.0323
27073998,1,0.0435
27081608,1,0.0456
27246326,1,0.0454
27388807,1,0.0451
27451121,1,0.0454
27593620,1,0.0449
27655929,1,0.0452
27696037,1,0.0451
27860739,1,0.045
28065531,1,0.0447
28105612,1,0.0449
28270319,1,0.0449
28310442,1,0.045
28412830,1,0.0446
28475112,1,0.0448
28515213,1,0.0448
28553961,1,0.046
28589528,1,0.0459
28617611,1,0.046
28679927,1,0.0462
28884761,1,0.0456
29089525,1,0.0451
29129668,1,0.0455
29294326,1,0.0452
29499107,1,0.0447
29703921,1,0.044
29908704,1,0.0436
30113503,1,0.0433
30153665,1,0.0442
30318323,1,0.0438
30523131,1,0.0433
30727921,1,0.0431
30932718,1,0.0427
31137510,1,0.0422
31342328,1,0.0417
31547118,1,0.0412
31751894,1,0.0411
31956698,1,0.041
32099244,1,0.0424
32161510,1,0.043
32201644,1,0.0429
32304069,1,0.0426
32366292,1,0.0427
32571109,1,0.0424
32611271,1,0.0426
32713651,1,0.0423
32775892,1,0.0425
32980717,1,0.0421
33185491,1,0.0418
33390289,1,0.0412
33595089,1,0.0409
33799898,1,0.0404
34004690,1,0.0399
34209498,1,0.0395
34414298,1,0.0389
34454519,1,0.0406
34619113,1,0.0404
34659263,1,0.0404
34823904,1,0.0403
35028681,1,0.04
35068871,1,0.0403
35233482,1,0.0401
35273671,1,0.0402
35438288,1,0.0401
35643097,1,0.04
35847888,1,0.0397
36052690,1,0.0395
36257504,1,0.039
36462295,1,0.0389
36604882,1,0.0399
36871904,1,0.04
37076682,1,0.0398
37486282,1,0.0392
37691092,1,0.0387
37895930,1,0.0385
38100698,1,0.0383
38305480,1,0.0379
38510272,1,0.0375
38715094,1,0.037
38919895,1,0.0367
39124668,1,0.0364
39329495,1,0.0362
39534283,1,0.0357
39739066,1,0.0355
39943892,1,0.0352
40148690,1,0.035
40353462,1,0.0349
40558280,1,0.0348
40598495,1,0.0386
40763087,1,0.0384
40905686,1,0.0382
40967887,1,0.0386
41008134,1,0.0385
41110469,1,0.0383
41172669,1,0.0386
41212891,1,0.0385
41315287,1,0.0382
41377486,1,0.0385
41582259,1,0.0381
41787086,1,0.0377
41991864,1,0.0372
42196657,1,0.0368
42401472,1,0.0366
42606270,1,0.0362
42811062,1,0.0361
43015851,1,0.0357
43220669,1,0.0353
43425470,1,0.0348
43630278,1,0.0345
43835065,1,0.0341
44039848,1,0.0338
44244677,1,0.0334
44449463,1,0.033
44654265,1,0.0328
44859046,1,0.0325
45001755,1,0.0357
45063846,1,0.0358
45268660,1,0.0356
45473448,1,0.0353
45678242,1,0.0351
45883048,1,0.0348
46087847,1,0.0345
46292666,1,0.0344
46497467,1,0.0344
46537710,1,0.0359
46702265,1,0.036
46907054,1,0.0357
47111863,1,0.0354
47316690,1,0.0352
47521495,1,0.035
47726262,1,0.0347
47931058,1,0.0342
48135851,1,0.0339
48340639,1,0.0337
48444139,1,0.0353
48457719,1,0.0353
48483302,1,0.0352
48545447,1,0.0353
48585709,1,0.0353
48750239,1,0.0353
48955028,1,0.0351
49159907,1,0.0349
49364635,1,0.0346
49569427,1,0.0343
49774240,1,0.0341
49979076,1,0.0339
50019377,1,0.0353
50183839,1,0.0353
50388642,1,0.0351
50593483,1,0.0349
50798231,1,0.0347
51003038,1,0.0344
51207839,1,0.0341
51412645,1,0.0339
51617418,1,0.0337
51760153,1,0.0352
51822218,1,0.0354
52027017,1,0.0353
52231824,1,0.0351
52436685,1,0.0348
52641442,1,0.0345
52846222,1,0.0343
53051014,1,0.0339
53255813,1,0.0337
53460621,1,0.0334
53665413,1,0.0332
53870236,1,0.0331
54075036,1,0.0329
54279816,1,0.0328
54484631,1,0.0327
54689403,1,0.0324
54894226,1,0.032
54991431,1,0.0349
55099004,1,0.035
55303805,1,0.0346
55508630,1,0.0345
55713429,1,0.0344
55918211,1,0.0342
56123009,1,0.0342
56327806,1,0.0339
56532598,1,0.0336
56737416,1,0.0332
56942204,1,0.0326
57146996,1,0.0321
57351803,1,0.0317
57494561,1,0.0338
57556611,1,0.0338
57596948,1,0.0337
57699382,1,0.0334
57761401,1,0.0334
57801750,1,0.0333
57904141,1,0.0331
57966220,1,0.0332
58006568,1,0.0331
58108968,1,0.0328
58171010,1,0.033
58211362,1,0.033
58313748,1,0.0327
58375801,1,0.0331
58416152,1,0.0331
58518561,1,0.0329
58580598,1,0.0333
58620960,1,0.0333
58723355,1,0.0331
58785397,1,0.0337
58825772,1,0.0337
58928145,1,0.0334
58990206,1,0.0339
59030557,1,0.0339
59195015,1,0.0341
59399803,1,0.034
59604595,1,0.034
59809404,1,0.0339
60014209,1,0.0336
60218991,1,0.0333
60423784,1,0.0328
60628610,1,0.0325
60833376,1,0.0321
60873785,1,0.034
61038209,1,0.0337
61243000,1,0.0334
61447785,1,0.0332
61652580,1,0.0328
61857402,1,0.0324
62062175,1,0.032
62102589,1,0.0332
62266978,1,0.033
62471774,1,0.0329
62676583,1,0.0328
62717010,1,0.0333
62881384,1,0.0332
63086191,1,0.033
63290989,1,0.0329
63495779,1,0.0328
63700568,1,0.0328
63905395,1,0.0329
64110165,1,0.0328
64314977,1,0.0326
64519778,1,0.0322
64724566,1,0.0321
64929366,1,0.0321
65134180,1,0.0318
65338970,1,0.0316
65543761,1,0.0315
65748641,1,0.0314
65953389,1,0.0315
66158179,1,0.0313
66362966,1,0.0313
66567783,1,0.0311
66720555,1,0.0345
66772565,1,0.0348
66813029,1,0.0348
66947442,1,0.0473
66948496,1,0.0601
66949617,1,0.0608
66953162,1,0.0739
66977364,1,0.0738
66984914,1,0.0741
66985951,1,0.0744
66987067,1,0.0747
66988163,1,0.0749
67029573,1,0.0746
67066096,1,0.0743
67182171,1,0.0738
67386963,1,0.0728
67591762,1,0.072
67744053,1,0.0712
67796561,1,0.0711
68001364,1,0.0701
68206246,1,0.069
68410995,1,0.0682
68615768,1,0.0674
68820566,1,0.0666
69025366,1,0.0657
69230157,1,0.0648
69434955,1,0.0639
69639762,1,0.0628
69782615,1,0.0649
69844546,1,0.0648
70049343,1,0.0638
70254172,1,0.0629
70294619,1,0.0632
70458944,1,0.0627
70663760,1,0.0618
70868540,1,0.0609
71073339,1,0.0599
71113826,1,0.0606
71216200,1,0.0601
71278164,1,0.06
71318677,1,0.0598
71482947,1,0.0593
71523419,1,0.0593
71687766,1,0.0587
71728235,1,0.0587
71830678,1,0.0582
71836352,1,0.0582
71847142,1,0.0581
71892563,1,0.0584
72097364,1,0.0577
72302151,1,0.0569
72506962,1,0.0562
72711760,1,0.0557
72916539,1,0.0551
73121337,1,0.0545
73161827,1,0.0557
73264219,1,0.0553
73326140,1,0.0554
73530955,1,0.0546
73571444,1,0.0547
73673859,1,0.0543
73735754,1,0.0543
73940528,1,0.0537
74145328,1,0.0529
74350134,1,0.0523
74493033,1,0.0525
74554924,1,0.0527
74595450,1,0.0526
74759735,1,0.0523
74964553,1,0.0519
75005078,1,0.0521
75169353,1,0.052
75374120,1,0.0517
75578951,1,0.0512
75783749,1,0.0508
75988545,1,0.0504
76193329,1,0.05
76398120,1,0.0496
76602915,1,0.0491
76807725,1,0.0486
76962927,1,0.0592
77012531,1,0.0591
77217312,1,0.0582
77422117,1,0.0572
77626915,1,0.0564
77831738,1,0.0555
78036511,1,0.0548
78241336,1,0.054
78446118,1,0.0534
78650927,1,0.0528
78855727,1,0.0522
79060534,1,0.0517
79265315,1,0.0511
79470134,1,0.0505
79674925,1,0.0499
79817860,1,0.0536
79879703,1,0.0539
80084520,1,0.0532
80125047,1,0.0534
80227558,1,0.053
80289311,1,0.0534
80494100,1,0.053
80637080,1,0.0528
80698969,1,0.0533
80841908,1,0.0528
80903709,1,0.0532
81108515,1,0.0527
81313300,1,0.0523
81518116,1,0.0516
81558713,1,0.0521
81722923,1,0.0516
81927703,1,0.0506
82132521,1,0.0498
82337293,1,0.049
82542197,1,0.0483
82746912,1,0.0479
82951700,1,0.0474
83156552,1,0.047
83361299,1,0.0467
83566092,1,0.0461
83770888,1,0.0458
83975714,1,0.0454
84180546,1,0.0449
84321574,1,0.0472
84385288,1,0.0471
84590094,1,0.0464
84794914,1,0.0457
84999711,1,0.0452
85204501,1,0.0446
85409280,1,0.0438
85614106,1,0.0433
85818889,1,0.0429
85875565,1,0.0541
85880788,1,0.0655
85880951,1,0.0757
85881225,1,0.0756
86023696,1,0.0748
86228479,1,0.0739
86433288,1,0.0729
86638085,1,0.0721
86842884,1,0.0712
87047682,1,0.0701
87252483,1,0.0692
87457292,1,0.0684
87662099,1,0.0675
87866870,1,0.0665
88071698,1,0.0657
88276488,1,0.0649
88481345,1,0.0644
88686078,1,0.0637
88890868,1,0.0629
89095683,1,0.0616
89300475,1,0.0609
89505290,1,0.0602
89710062,1,0.0595
89914879,1,0.0586
90119699,1,0.0577
90324487,1,0.0569
90734058,1,0.0553
90938869,1,0.0545
91143666,1,0.0535
91348467,1,0.0529
91553275,1,0.0524
91758075,1,0.0518
91962881,1,0.0512
92167656,1,0.0505
92372478,1,0.0498
92577261,1,0.0493
92782068,1,0.0486
92986858,1,0.0479
93191715,1,0.0474
93396467,1,0.047
93601257,1,0.0466
93806075,1,0.0461
94010867,1,0.0458
94215672,1,0.0456
94420496,1,0.0452
94625246,1,0.045
94830044,1,0.0448
95034842,1,0.0446
95239658,1,0.0441
95444459,1,0.0438
95649257,1,0.0434
95854057,1,0.0432
96058839,1,0.043
96263664,1,0.0428
96468455,1,0.0425
96673255,1,0.0422
96878043,1,0.0417
97082863,1,0.0412
97287635,1,0.0408
97492449,1,0.0404
97697231,1,0.0402
97902049,1,0.0398
98106832,1,0.0393
98311635,1,0.039
98721280,1,0.0384
98926088,1,0.0381
99130828,1,0.0377
99335625,1,0.0374
99540420,1,0.0371
99745222,1,0.0365
99950048,1,0.036
100154837,1,0.0358
100359620,1,0.0356
100564420,1,0.0355
100719121,1,0.0466
100769246,1,0.047
100974017,1,0.0469
101178845,1,0.0465
101383626,1,0.0462
101588431,1,0.0459
101793232,1,0.0456
101904780,1,0.0546
101998012,1,0.0545
102202839,1,0.0539
102407638,1,0.0532
102612413,1,0.0525
102653188,1,0.0531
102817230,1,0.0527
103022011,1,0.0521
103226834,1,0.0513
103431617,1,0.0507
103636434,1,0.0502
103841232,1,0.0496
104046034,1,0.0491
104250825,1,0.0485
104455622,1,0.048
104660429,1,0.0472
104865264,1,0.0467
105019976,1,0.0501
105070030,1,0.0502
105274825,1,0.0495
105479610,1,0.049
105684425,1,0.0486
105889205,1,0.0479
106094024,1,0.0474
106298874,1,0.0471
106503604,1,0.0468
106708413,1,0.0465
106913201,1,0.0459
107118012,1,0.0455
107322820,1,0.0451
107527592,1,0.0448
107732437,1,0.0444
107937192,1,0.044
108142014,1,0.0434
108346816,1,0.043
108551606,1,0.0426
108756383,1,0.0423
108961187,1,0.0417
109166001,1,0.0412
109370812,1,0.0409
109575585,1,0.0405
109719073,1,0.0458
109780399,1,0.0463
109985199,1,0.0461
110189999,1,0.0459
110394800,1,0.0455
110599598,1,0.0451
110804386,1,0.0449
111009184,1,0.0444
111049982,1,0.0457
111213985,1,0.0456
111418784,1,0.0453
111623593,1,0.0449
111828383,1,0.0444
112033193,1,0.044
112238035,1,0.0437
112442772,1,0.0432
112597585,1,0.0488
112647578,1,0.0489
112688388,1,0.0505
112852369,1,0.0502
112995940,1,0.0499
113057197,1,0.0501
113097996,1,0.0501
113200671,1,0.0496
113261977,1,0.05
113405584,1,0.0495
113466765,1,0.0495
113671593,1,0.0491
113876383,1,0.0487
114081174,1,0.0483
114285981,1,0.0478
114490789,1,0.0471
114531610,1,0.0481
114634332,1,0.0478
114695571,1,0.0479
114736458,1,0.0478
114900378,1,0.0471
115105170,1,0.0467
115309960,1,0.0461
115514786,1,0.0456
115719586,1,0.0452
115924377,1,0.0448
115965258,1,0.046
116129218,1,0.0457
116170043,1,0.0459
116272703,1,0.0456
116333984,1,0.0457
116371674,1,0.0567
116374805,1,0.0568
116538781,1,0.0566
116743554,1,0.0561
116948354,1,0.0555
117153231,1,0.0547
117357949,1,0.0538
117562749,1,0.0531
117767551,1,0.0525
117972374,1,0.0519
118177177,1,0.0512
118381973,1,0.0508
118586745,1,0.0501
118791546,1,0.0495
118928553,1,0.0606
118996344,1,0.0606
119201141,1,0.0598
119405968,1,0.0588
119610768,1,0.0581
119815557,1,0.0574
120020356,1,0.0569
120061251,1,0.0602
120225139,1,0.0599
120429936,1,0.0591
120634800,1,0.0584
120839565,1,0.0579
121044344,1,0.0573
121249133,1,0.0565
121453942,1,0.0558
121658750,1,0.0551
121863560,1,0.0542
122068350,1,0.0534
122273160,1,0.0528
122477941,1,0.0524
122682751,1,0.0519
122887554,1,0.0514
123092344,1,0.0509
123297134,1,0.0503
123501954,1,0.05
123706724,1,0.0498
123911524,1,0.0496
124116351,1,0.049
124321132,1,0.0483
124477684,1,0.0518
124525951,1,0.0517
124730730,1,0.0511
124935521,1,0.0505
125079221,1,0.0505
125140330,1,0.0505
125345138,1,0.0499
125549935,1,0.0494
125754744,1,0.0486
125959535,1,0.0479
126164339,1,0.0473
126369117,1,0.0465
126573924,1,0.046
126778767,1,0.0453
126983539,1,0.0448
127188340,1,0.0442
127393112,1,0.0437
127597936,1,0.0435
