Timestamp,RSSI
18633925,-37
18707015,-37
18921707,-37
18957643,-37
19076491,-37
19077831,-37
19802344,-38
20081005,-39
20190729,-38
20409321,-39
20876849,-38
21382832,-37
21440842,-37
22081875,-38
22086271,-39
22190285,-38
22905423,-39
23184405,-39
23198062,-39
25815222,-40
26097021,-39
26430933,-40
26824951,-40
27248825,-39
27434198,-37
27484426,-38
27531121,-38
28088921,-39
28491258,-39
29208921,-40
30045568,-39
30730421,-36
30821756,-37
31100832,-41
31827971,-37
32107395,-36
32447583,-40
32838241,-39
33194407,-39
34114951,-39
34116390,-40
34842728,-40
35118797,-40
35462573,-39
35911586,-38
36470246,-39
36967495,-38
36968268,-38
37121872,-38
37123624,-38
37852013,-40
37855850,-40
38130191,-38
38269198,-40
38471338,-38
39076427,-40
39533230,-39
39692956,-41
39700113,-40
39700228,-40
39700759,-40
39722514,-41
39731403,-40
39731517,-40
39840720,-39
40221453,-40
41135539,-39
41201579,-39
41201698,-39
41228527,-39
41345261,-39
41479439,-40
43142966,-41
43143923,-41
43205496,-41
43206169,-42
43238194,-42
43272180,-42
43487869,-42
43921173,-42
44023896,-42
44154073,-42
44482550,-41
44497141,-42
45490328,-41
46157147,-40
46252672,-40
46499976,-40
46591202,-39
47165309,-40
47257337,-40
47267838,-41
47526716,-41
47686272,-42
48158080,-41
48423005,-41
48684045,-41
49166565,-41
49260957,-41
49509855,-41
49883710,-41
50180516,-40
50274687,-40
50897605,-41
52891843,-41
53057705,-41
53136140,-41
53155722,-41
53182213,-41
53211882,-41
54469131,-42
54517387,-41
54751885,-43
55646408,-41
56185491,-41
56429194,-42
56660303,-43
56910026,-45
57533067,-45
57892630,-46
58186128,-44
58186798,-44
58186909,-44
58433996,-41
58438294,-41
58481419,-41
58544116,-41
58544228,-41
58545035,-41
58654729,-41
58906157,-41
59201175,-40
59201289,-40
59447821,-40
59555307,-40
59667084,-40
59913611,-42
60084689,-43
60525454,-44
60786863,-42
61298988,-41
61558866,-41
61574418,-42
61667150,-42
61668110,-42
61915955,-43
61919892,-43
62196088,-43
62536468,-43
62566580,-42
62673939,-42
63218458,-43
63543833,-41
63825204,-41
64130582,-41
64489367,-42
64588796,-41
65200253,-41
65307384,-40
65516302,-39
65540087,-39
65572667,-39
65617752,-39
65620706,-40
65679961,-40
65767890,-40
65828945,-40
66630305,-39
66787676,-39
66943862,-39
67203487,-39
67205627,-39
67571420,-39
67572284,-39
67709169,-38
68206044,-39
68209569,-39
68360796,-39
68548419,-39
68584588,-39
69420664,-41
70534049,-41
70841666,-41
71215686,-42
71558659,-42
71695043,-41
71943588,-42
72376729,-42
72532612,-42
72640613,-42
72843107,-41
73229294,-42
73229409,-42
73540198,-42
73545509,-42
73588006,-42
73798316,-43
73944423,-42
73945317,-42
74192615,-43
74223851,-42
74331944,-40
74379146,-40
74562248,-40
74646317,-40
74867011,-39
74886029,-39
75121735,-37
75198325,-37
75539314,-38
76222307,-39
76297456,-39
76465491,-39
76547192,-38
76547313,-38
76631840,-39
76886900,-41
76944368,-41
77054960,-42
77185361,-42
77226350,-42
77957486,-41
78336819,-41
78643187,-41
78708334,-41
78850112,-41
79532722,-42
79814272,-41
79903506,-42
80541874,-38
80959507,-38
81565043,-40
81566260,-40
81580724,-40
81967833,-41
82913722,-39
82960310,-39
83239394,-39
83852182,-39
83904149,-39
83920150,-39
84410106,-40
84516058,-48
84603096,-41
84619258,-42
84694265,-41
84926337,-40
85142599,-41
85309529,-42
85345177,-42
85870777,-41
86703873,-41
86736478,-41
86871982,-41
86908539,-41
86911257,-41
86965905,-41
86974389,-41
87011521,-41
87080547,-41
87089319,-41
87110333,-41
87142271,-41
87172940,-41
87463789,-41
87466129,-41
87485966,-49
87494595,-41
87499646,-41
87500253,-41
87500730,-41
87574050,-42
87588842,-42
87611778,-41
87724735,-41
87730782,-41
87731262,-41
87831072,-41
87947965,-41
88130774,-41
88134473,-41
88285280,-40
88305711,-47
88313675,-39
88350847,-39
88354432,-39
88371741,-39
88372767,-39
88389918,-39
88391630,-39
88427462,-39
88461216,-39
88510888,-39
88526340,-38
88589699,-39
88605119,-38
88608838,-38
88614661,-38
88620574,-39
88635171,-39
88636579,-38
88646668,-39
88646786,-39
88650925,-39
88652275,-39
88652491,-39
88681991,-39
88693320,-40
88694764,-39
88696357,-40
88709322,-39
88709642,-40
88710900,-39
88724997,-40
88726372,-39
88728737,-40
88730274,-40
88738789,-40
88741515,-40
88743014,-40
88744294,-40
88748856,-40
88754625,-40
88755878,-39
88757057,-40
88758278,-40
88767424,-39
88771622,-40
88772772,-40
88774054,-40
88775269,-40
88776577,-40
88779141,-40
88783814,-40
88818626,-40
88826242,-40
88844388,-41
88879072,-42
88954274,-43
88986852,-44
89029894,-44
89092965,-44
89095173,-43
89126716,-42
89126963,-42
89273345,-40
89287173,-41
89465543,-40
89550863,-40
89632419,-40
89664824,-40
89666114,-40
89670364,-40
89673735,-40
89675301,-40
89686855,-40
89688103,-40
89689511,-40
89690791,-40
89692103,-40
89695778,-40
89697095,-40
89703495,-40
89707362,-40
89708615,-40
89713164,-40
89714059,-40
89716133,-40
89719074,-40
89720295,-40
89726675,-39
89729539,-39
89731074,-39
89732643,-39
89733830,-40
89735111,-39
89741144,-40
89742627,-40
89746276,-39
89750055,-40
89756583,-39
89759527,-40
89760775,-39
89765767,-39
89772764,-39
89773603,-39
89775815,-40
89778531,-39
89783523,-39
89784775,-39
89786024,-39
89787267,-39
89789800,-40
89791079,-39
89793539,-39
89794760,-39
89804104,-39
89806600,-39
89809256,-39
89813000,-39
89814361,-40
89815784,-40
89817096,-39
89818312,-40
89819624,-40
89822307,-39
89823556,-39
89824808,-39
89827298,-39
89828647,-39
89831491,-39
89832775,-40
89835368,-40
89838024,-39
89842333,-47
89843033,-48
89844368,-39
89845611,-39
89848295,-40
89849574,-39
89855846,-40
89857218,-39
89860870,-40
89862278,-39
89863586,-39
89864774,-39
89867305,-39
89868903,-40
89928550,-40
89936801,-40
89951170,-40
89977664,-40
89983906,-40
90009571,-40
90019299,-40
90022370,-40
90025091,-40
90028034,-40
90031138,-40
90033891,-40
90036771,-40
90046471,-49
90048411,-40
90053475,-40
90055043,-40
90060774,-40
90070402,-40
90074529,-40
90076185,-40
90080072,-40
90122510,-40
90299843,-40
90321297,-40
90362770,-40
90363011,-40
90378531,-40
90380035,-40
90382018,-40
90383271,-40
90387149,-40
90395207,-40
90416616,-40
90447363,-41
90461677,-40
90499011,-40
90527530,-50
90534504,-41
90552577,-41
90596392,-41
90620776,-41
90646056,-41
90728360,-42
90755016,-42
90779660,-42
90816655,-51
90817014,-50
90817138,-49
90818060,-49
90818194,-49
90818357,-50
90819864,-50
90821820,-50
90821995,-49
90822158,-49
90824861,-50
90855785,-42
90872744,-42
90885448,-42
90899145,-42
90907784,-42
90921256,-42
90945769,-42
90950915,-42
90955396,-42
90969286,-51
90987507,-50
90987657,-49
90987790,-49
90987922,-49
90988099,-50
90989320,-49
90993943,-42
91042888,-42
91057705,-42
91072617,-41
91085206,-42
91097517,-42
91112681,-42
91138578,-42
91151304,-43
91166185,-42
91178569,-42
91191763,-42
91202717,-51
91206360,-42
91216274,-42
91227510,-51
91228625,-42
91239858,-42
91249286,-51
91250390,-42
91260466,-51
91261562,-42
91270795,-51
91271890,-42
91281459,-51
91293189,-51
91294514,-42
91303558,-51
91304659,-42
91314170,-51
91325253,-51
91335621,-51
91340042,-42
91346006,-51
91356485,-51
91368010,-42
91368300,-51
91378789,-51
91379991,-42
91389476,-51
91390679,-41
91400215,-51
91402153,-41
91410972,-50
91412109,-42
91421748,-51
91422971,-41
91432197,-50
91433406,-41
91442550,-51
91443731,-42
91452975,-51
91454140,-41
91463516,-51
91464760,-41
91474969,-51
91476146,-42
91485331,-51
91497555,-41
91506708,-51
91507966,-41
91517060,-51
91518319,-42
91530679,-42
91540206,-50
91541509,-41
91550723,-50
91551983,-41
91562213,-50
91563470,-41
91573197,-51
91577480,-41
91583568,-50
91587913,-41
91594974,-51
91602857,-41
91605322,-42
91606596,-50
91610185,-41
91616881,-50
91618012,-41
91627190,-50
91628534,-41
91637571,-50
91643754,-41
91648951,-50
91650258,-41
91650374,-41
91659446,-51
91660759,-41
91669974,-50
91681228,-50
91688499,-41
91691612,-50
91692923,-42
91702226,-50
91703571,-42
91712579,-50
91713518,-51
91718360,-41
91722999,-51
91724307,-41
91733443,-51
91734754,-42
91734869,-42
91743971,-51
91745234,-42
91745818,-42
91754371,-51
91755678,-41
91756261,-41
91764739,-51
91766050,-41
91775108,-51
91776413,-42
91785507,-51
91785810,-49
91785927,-49
91786993,-49
91788232,-42
91797735,-42
91806627,-51
91806928,-49
91807064,-49
91807214,-49
91807392,-49
91808810,-49
91810244,-49
91811652,-49
91813072,-50
91814576,-50
91816348,-42
91817067,-51
91820793,-42
91827675,-51
91828978,-42
91838481,-51
91839813,-42
91840645,-42
91848907,-51
91850210,-42
91851183,-42
91859292,-51
91860581,-42
91861707,-42
91870713,-51
91872837,-42
91881475,-51
91882733,-42
91904211,-51
91905469,-42
91915203,-51
91916494,-42
91916609,-42
91926271,-51
91927529,-42
91938252,-51
91939507,-42
91949213,-51
91950411,-42
91960005,-51
91961523,-42
91986214,-42
91996934,-42
92001414,-42
92010598,-42
92035558,-42
92046278,-42
92060517,-41
92110947,-42
92146474,-42
92156731,-51
92158959,-41
92170351,-51
92177750,-51
92178951,-41
92181136,-42
92186564,-41
92188514,-50
92189689,-41
92198990,-50
92200528,-41
92220954,-50
92222264,-41
92232224,-50
92234251,-41
92243209,-50
92244473,-42
92254193,-50
92255509,-41
92266027,-50
92267290,-42
92276448,-50
92277811,-41
92287001,-50
92288018,-51
92288310,-48
92288443,-48
92289590,-49
92293477,-51
92293775,-49
92293901,-49
92294044,-49
92294207,-48
92295771,-50
92296076,-49
